"PersonSize","TimePoint","ModelTorF","BRMSEA","BGammaHat","adjBGammaHat","BMc"
25,2,0,0.149471629364271,0.806173209198843,0.765533170788889,0.487646083245773
25,3,0,0.176924126042346,0.646624962865648,0.615511072145189,0.0858881217375713
25,4,0,0.250879917361494,0.398913807853394,0.372336028526005,0.000119109317197687
50,2,0,0.086774560309135,0.926677125026615,0.90832038552935,0.789223166276164
50,3,0,0.064010935650107,0.932753423572025,0.92701109946879,0.723586508016738
50,4,0,0.0954000930155993,0.821777087789107,0.812998538525147,0.272484021881279
75,2,0,0.0759412993307619,0.941096564307568,0.92896089655086,0.829005398344423
75,3,0,0.0425253787712833,0.968982248587914,0.96623307490476,0.866183106371115
75,4,0,0.0677349648773994,0.901503296321443,0.89654834355593,0.519402254856274
25,2,0.3,0.199772530072482,0.699016509979161,0.637485985890013,0.275722961359637
25,3,0.3,0.16899851588486,0.664157031627141,0.639672540239383,0.10319806224329
25,4,0.3,0.16231835149103,0.615179657091277,0.594842340076342,0.0235578140107832
50,2,0.3,0.130928754099207,0.850095711686766,0.810348313935202,0.58959234269321
50,3,0.3,0.119957709975604,0.800249156290359,0.781179347812288,0.325557183749066
50,4,0.3,0.077801054110144,0.874357476830769,0.867620451066468,0.422702010164606
75,2,0.3,0.0573800061689634,0.964909829420431,0.957627121689421,0.896872669203719
75,3,0.3,0.0830425015167022,0.892817097484207,0.882942494498504,0.582854116336189
75,4,0.3,0.0553622854089519,0.931998000350528,0.928493373763678,0.64577694831045
