,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,PersonSize,TimePoint,ModelTorF,BRMSEA,BGammaHat,adjBGammaHat,BMc,,PersonSize,TimePoint,ModelTorF,BRMSEA,BGammaHat,adjBGammaHat,BMc
,,,25,1,0,0.06,0.97,0.93,0.96,,25,1,0.3,0.26,0.82,0.61,0.72
,,,50,1,0,0.07,0.98,0.94,0.96,,50,1,0.3,0.14,0.96,0.85,0.93
,,,75,1,0,0.02,1.00,0.99,0.99,,75,1,0.3,0.16,0.94,0.83,0.91
,,,100,1,0,0.11,0.97,0.91,0.95,,100,1,0.3,0.16,0.94,0.82,0.90
,,,250,1,0,0.02,1.00,0.99,1.00,,250,1,0.3,0.14,0.95,0.87,0.92
,,,500,1,0,0.05,0.99,0.98,0.99,,500,1,0.3,0.14,0.95,0.87,0.92
,,,1000,1,0,0.01,1.00,1.00,1.00,,1000,1,0.3,0.12,0.96,0.90,0.94
,,,,,,,,,,,,,,,,,
,,,25,2,0,0.15,0.81,0.77,0.49,,25,2,0.3,0.19,0.72,0.67,0.32
,,,50,2,0,0.07,0.95,0.94,0.85,,50,2,0.3,0.12,0.86,0.83,0.61
,,,75,2,0,0.07,0.95,0.93,0.84,,75,2,0.3,0.09,0.92,0.90,0.76
,,,100,2,0,0.06,0.97,0.96,0.90,,100,2,0.3,0.06,0.97,0.96,0.90
,,,250,,,,,,,,250,,,,,,
,,,500,,,,,,,,500,,,,,,
,,,1000,,,,,,,,1000,,,,,,
,,,,,,,,,,,,,,,,,
,,,25,3,0,0.17,0.65,0.62,0.09,,25,3,0.3,0.15,0.71,0.68,0.17
,,,50,3,0,0.07,0.93,0.92,0.70,,50,3,0.3,0.06,0.95,0.94,0.78
,,,75,3,0,0.05,0.96,0.96,0.84,,75,3,0.3,0.08,0.90,0.89,0.59
,,,100,3,0,0.04,0.97,0.97,0.87,,100,3,0.3,0.09,0.89,0.88,0.57
,,,250,,,,,,,,250,,,,,,
,,,500,,,,,,,,500,,,,,,
,,,1000,,,,,,,,1000,,,,,,
,,,,,,,,,,,,,,,,,
,,,25,4,0,0.19,0.52,0.50,0.00,,25,4,0.3,0.24,0.41,0.39,0.00
,,,50,4,0,0.08,0.86,0.85,0.37,,50,4,0.3,0.09,0.83,0.82,0.30
,,,75,4,0,0.06,0.91,0.91,0.57,,75,4,0.3,0.07,0.89,0.89,0.49
,,,100,4,0,0.05,0.94,0.93,0.67,,100,4,0.3,0.07,0.91,0.90,0.54
,,,250,4,0,0.03,0.98,0.98,0.90,,250,,,,,,
,,,500,4,0,0.02,0.99,0.99,0.96,,500,,,,,,
,,,1000,4,0,0.02,0.99,0.99,0.96,,1000,,,,,,
,,,,,,,,,,,,,,,,,
,,,50,5,0,0.09,0.81,0.80,0.16,,50,5,0.3,0.09,0.81,0.80,0.16
,,,75,5,0,0.07,0.88,0.88,0.37,,75,5,0.3,0.08,0.83,0.82,0.21
,,,100,5,0,0.05,0.93,0.93,0.57,,100,5,0.3,0.06,0.90,0.90,0.44
,,,250,5,0,0.02,0.99,0.99,0.92,,250,,,,,,
,,,500,5,0,0.02,0.99,0.99,0.92,,500,,,,,,
,,,,,,,,,,,1000,,,,,,
,,,,,,,,,,,,,,,,,
,,,75,10,0,0.08,0.70,0.70,0.00,,75,10,0.3,0.09,0.69,0.69,0.00
,,,100,10,0,0.05,0.85,0.85,0.07,,100,10,0.3,0.07,0.77,0.76,0.01
,,,250,10,0,0.03,0.96,0.96,0.51,,250,,,,,,
,,,500,10,0,0.01,1.00,1.00,0.96,,500,,,,,,
,,,1000,,,,,,,,1000,,,,,,
