"PersonSize","TimePoint","ModelTorF","BRMSEA","BGammaHat","adjBGammaHat","BMc"
250,2,0.3,0.0699076444735241,0.950783338128621,0.939534195143526,0.856183594192084
250,3,0.3,0.0701486740666896,0.921511587098892,0.913830518816875,0.681645435373763
250,4,0.3,0.0521080218019696,0.939463206602527,0.936218712142231,0.679372725490418
250,5,0.3,0.0335666790730529,0.967300355230536,0.966200013199207,0.776085442568698
250,10,0.3,0.0370611541505344,0.923302649470836,0.922639810831512,0.28766019241798
500,2,0.3,0.0848510346832201,0.929474019001319,0.912995587832118,0.796422074215875
500,3,0.3,0.0579029384803639,0.945023007579867,0.93979466973878,0.76968040964448
500,4,0.3,0.0458340680668089,0.952497039154021,0.94997247794296,0.741394643949412
500,5,0.3,0.0455508979442216,0.941417763946294,0.939445108127696,0.627070407475729
500,10,0.3,0.0328702257177116,0.938660844507103,0.938134785692723,0.375236291000205
